dhi,dni,ghi,gti,period_end,period
87,571,269,446,2007-01-20T08:00:00+00:00,PT60M
88,751,394,639,2007-01-20T09:00:00+00:00,PT60M
200,404,389,544,2007-01-20T10:00:00+00:00,PT60M
195,54,221,237,2007-01-20T11:00:00+00:00,PT60M
85,0,85,82,2007-01-20T12:00:00+00:00,PT60M
33,0,33,32,2007-01-20T13:00:00+00:00,PT60M
36,0,36,35,2007-01-20T14:00:00+00:00,PT60M
21,4,22,22,2007-01-20T15:00:00+00:00,PT60M
0,0,0,0,2007-01-20T16:00:00+00:00,PT60M
0,0,0,0,2007-01-20T17:00:00+00:00,PT60M
0,0,0,0,2007-01-20T18:00:00+00:00,PT60M
0,0,0,0,2007-01-20T19:00:00+00:00,PT60M
0,0,0,0,2007-01-20T20:00:00+00:00,PT60M
0,0,0,0,2007-01-20T21:00:00+00:00,PT60M
0,0,0,0,2007-01-20T22:00:00+00:00,PT60M
0,0,0,0,2007-01-20T23:00:00+00:00,PT60M
0,0,0,0,2007-01-21T00:00:00+00:00,PT60M
0,0,0,0,2007-01-21T01:00:00+00:00,PT60M
0,0,0,0,2007-01-21T02:00:00+00:00,PT60M
0,0,0,0,2007-01-21T03:00:00+00:00,PT60M
0,0,0,0,2007-01-21T04:00:00+00:00,PT60M
0,0,0,0,2007-01-21T05:00:00+00:00,PT60M
7,98,16,38,2007-01-21T06:00:00+00:00,PT60M
50,454,133,256,2007-01-21T07:00:00+00:00,PT60M
52,768,292,515,2007-01-21T08:00:00+00:00,PT60M
60,848,410,677,2007-01-21T09:00:00+00:00,PT60M
64,886,480,772,2007-01-21T10:00:00+00:00,PT60M
65,893,494,791,2007-01-21T11:00:00+00:00,PT60M
65,863,448,728,2007-01-21T12:00:00+00:00,PT60M
60,803,350,594,2007-01-21T13:00:00+00:00,PT60M
61,559,201,359,2007-01-21T14:00:00+00:00,PT60M
29,229,55,111,2007-01-21T15:00:00+00:00,PT60M
0,0,0,0,2007-01-21T16:00:00+00:00,PT60M
0,0,0,0,2007-01-21T17:00:00+00:00,PT60M
0,0,0,0,2007-01-21T18:00:00+00:00,PT60M
0,0,0,0,2007-01-21T19:00:00+00:00,PT60M
0,0,0,0,2007-01-21T20:00:00+00:00,PT60M
0,0,0,0,2007-01-21T21:00:00+00:00,PT60M
0,0,0,0,2007-01-21T22:00:00+00:00,PT60M
0,0,0,0,2007-01-21T23:00:00+00:00,PT60M
0,0,0,0,2007-01-22T00:00:00+00:00,PT60M
0,0,0,0,2007-01-22T01:00:00+00:00,PT60M
0,0,0,0,2007-01-22T02:00:00+00:00,PT60M
0,0,0,0,2007-01-22T03:00:00+00:00,PT60M
0,0,0,0,2007-01-22T04:00:00+00:00,PT60M
0,0,0,0,2007-01-22T05:00:00+00:00,PT60M
9,79,16,34,2007-01-22T06:00:00+00:00,PT60M
46,522,140,279,2007-01-22T07:00:00+00:00,PT60M
66,714,290,502,2007-01-22T08:00:00+00:00,PT60M
76,802,409,667,2007-01-22T09:00:00+00:00,PT60M
80,841,478,761,2007-01-22T10:00:00+00:00,PT60M
82,846,491,778,2007-01-22T11:00:00+00:00,PT60M
82,812,445,714,2007-01-22T12:00:00+00:00,PT60M
76,740,346,577,2007-01-22T13:00:00+00:00,PT60M
72,497,199,342,2007-01-22T14:00:00+00:00,PT60M
36,136,52,86,2007-01-22T15:00:00+00:00,PT60M
0,0,0,0,2007-01-22T16:00:00+00:00,PT60M
0,0,0,0,2007-01-22T17:00:00+00:00,PT60M
0,0,0,0,2007-01-22T18:00:00+00:00,PT60M
0,0,0,0,2007-01-22T19:00:00+00:00,PT60M
0,0,0,0,2007-01-22T20:00:00+00:00,PT60M
0,0,0,0,2007-01-22T21:00:00+00:00,PT60M
0,0,0,0,2007-01-22T22:00:00+00:00,PT60M
0,0,0,0,2007-01-22T23:00:00+00:00,PT60M
0,0,0,0,2007-01-23T00:00:00+00:00,PT60M
0,0,0,0,2007-01-23T01:00:00+00:00,PT60M
0,0,0,0,2007-01-23T02:00:00+00:00,PT60M
0,0,0,0,2007-01-23T03:00:00+00:00,PT60M
0,0,0,0,2007-01-23T04:00:00+00:00,PT60M
0,0,0,0,2007-01-23T05:00:00+00:00,PT60M
10,0,10,9,2007-01-23T06:00:00+00:00,PT60M
87,55,99,114,2007-01-23T07:00:00+00:00,PT60M
120,427,260,397,2007-01-23T08:00:00+00:00,PT60M
100,729,405,646,2007-01-23T09:00:00+00:00,PT60M
105,778,475,743,2007-01-23T10:00:00+00:00,PT60M
225,351,397,531,2007-01-23T11:00:00+00:00,PT60M
110,725,437,683,2007-01-23T12:00:00+00:00,PT60M
175,276,277,372,2007-01-23T13:00:00+00:00,PT60M
118,70,136,154,2007-01-23T14:00:00+00:00,PT60M
38,46,46,57,2007-01-23T15:00:00+00:00,PT60M
0,0,0,0,2007-01-23T16:00:00+00:00,PT60M
0,0,0,0,2007-01-23T17:00:00+00:00,PT60M
0,0,0,0,2007-01-23T18:00:00+00:00,PT60M
0,0,0,0,2007-01-23T19:00:00+00:00,PT60M
0,0,0,0,2007-01-23T20:00:00+00:00,PT60M
0,0,0,0,2007-01-23T21:00:00+00:00,PT60M
0,0,0,0,2007-01-23T22:00:00+00:00,PT60M
0,0,0,0,2007-01-23T23:00:00+00:00,PT60M
0,0,0,0,2007-01-24T00:00:00+00:00,PT60M
0,0,0,0,2007-01-24T01:00:00+00:00,PT60M
0,0,0,0,2007-01-24T02:00:00+00:00,PT60M
0,0,0,0,2007-01-24T03:00:00+00:00,PT60M
0,0,0,0,2007-01-24T04:00:00+00:00,PT60M
0,0,0,0,2007-01-24T05:00:00+00:00,PT60M
11,3,12,12,2007-01-24T06:00:00+00:00,PT60M
67,0,67,64,2007-01-24T07:00:00+00:00,PT60M
151,7,153,150,2007-01-24T08:00:00+00:00,PT60M
160,0,160,154,2007-01-24T09:00:00+00:00,PT60M
204,0,204,197,2007-01-24T10:00:00+00:00,PT60M
280,19,290,289,2007-01-24T11:00:00+00:00,PT60M
189,0,189,182,2007-01-24T12:00:00+00:00,PT60M
191,39,204,212,2007-01-24T13:00:00+00:00,PT60M
124,78,145,168,2007-01-24T14:00:00+00:00,PT60M
32,2,32,31,2007-01-24T15:00:00+00:00,PT60M
0,0,0,0,2007-01-24T16:00:00+00:00,PT60M
0,0,0,0,2007-01-24T17:00:00+00:00,PT60M
0,0,0,0,2007-01-24T18:00:00+00:00,PT60M
0,0,0,0,2007-01-24T19:00:00+00:00,PT60M
0,0,0,0,2007-01-24T20:00:00+00:00,PT60M
0,0,0,0,2007-01-24T21:00:00+00:00,PT60M
0,0,0,0,2007-01-24T22:00:00+00:00,PT60M
0,0,0,0,2007-01-24T23:00:00+00:00,PT60M
0,0,0,0,2007-01-25T00:00:00+00:00,PT60M
0,0,0,0,2007-01-25T01:00:00+00:00,PT60M
0,0,0,0,2007-01-25T02:00:00+00:00,PT60M
0,0,0,0,2007-01-25T03:00:00+00:00,PT60M
0,0,0,0,2007-01-25T04:00:00+00:00,PT60M
0,0,0,0,2007-01-25T05:00:00+00:00,PT60M
6,0,6,5,2007-01-25T06:00:00+00:00,PT60M
61,95,83,110,2007-01-25T07:00:00+00:00,PT60M
139,333,242,346,2007-01-25T08:00:00+00:00,PT60M
174,0,174,168,2007-01-25T09:00:00+00:00,PT60M
215,0,215,207,2007-01-25T10:00:00+00:00,PT60M
192,0,192,185,2007-01-25T11:00:00+00:00,PT60M
142,0,142,137,2007-01-25T12:00:00+00:00,PT60M
192,130,237,275,2007-01-25T13:00:00+00:00,PT60M
120,6,122,120,2007-01-25T14:00:00+00:00,PT60M
39,18,41,45,2007-01-25T15:00:00+00:00,PT60M
0,0,0,0,2007-01-25T16:00:00+00:00,PT60M
0,0,0,0,2007-01-25T17:00:00+00:00,PT60M
0,0,0,0,2007-01-25T18:00:00+00:00,PT60M
0,0,0,0,2007-01-25T19:00:00+00:00,PT60M
0,0,0,0,2007-01-25T20:00:00+00:00,PT60M
0,0,0,0,2007-01-25T21:00:00+00:00,PT60M
0,0,0,0,2007-01-25T22:00:00+00:00,PT60M
0,0,0,0,2007-01-25T23:00:00+00:00,PT60M
0,0,0,0,2007-01-26T00:00:00+00:00,PT60M
0,0,0,0,2007-01-26T01:00:00+00:00,PT60M
0,0,0,0,2007-01-26T02:00:00+00:00,PT60M
0,0,0,0,2007-01-26T03:00:00+00:00,PT60M
0,0,0,0,2007-01-26T04:00:00+00:00,PT60M
0,0,0,0,2007-01-26T05:00:00+00:00,PT60M
6,0,6,5,2007-01-26T06:00:00+00:00,PT60M
55,1,55,54,2007-01-26T07:00:00+00:00,PT60M
153,26,160,164,2007-01-26T08:00:00+00:00,PT60M
217,205,305,374,2007-01-26T09:00:00+00:00,PT60M
276,24,288,289,2007-01-26T10:00:00+00:00,PT60M
289,120,348,390,2007-01-26T11:00:00+00:00,PT60M
232,5,234,228,2007-01-26T12:00:00+00:00,PT60M
159,0,159,154,2007-01-26T13:00:00+00:00,PT60M
71,0,71,68,2007-01-26T14:00:00+00:00,PT60M
21,0,21,20,2007-01-26T15:00:00+00:00,PT60M
0,0,0,0,2007-01-26T16:00:00+00:00,PT60M
0,0,0,0,2007-01-26T17:00:00+00:00,PT60M
0,0,0,0,2007-01-26T18:00:00+00:00,PT60M
0,0,0,0,2007-01-26T19:00:00+00:00,PT60M
0,0,0,0,2007-01-26T20:00:00+00:00,PT60M
0,0,0,0,2007-01-26T21:00:00+00:00,PT60M
0,0,0,0,2007-01-26T22:00:00+00:00,PT60M
0,0,0,0,2007-01-26T23:00:00+00:00,PT60M
0,0,0,0,2007-01-27T00:00:00+00:00,PT60M
0,0,0,0,2007-01-27T01:00:00+00:00,PT60M
0,0,0,0,2007-01-27T02:00:00+00:00,PT60M
0,0,0,0,2007-01-27T03:00:00+00:00,PT60M
0,0,0,0,2007-01-27T04:00:00+00:00,PT60M
0,0,0,0,2007-01-27T05:00:00+00:00,PT60M
4,0,4,4,2007-01-27T06:00:00+00:00,PT60M
27,0,27,26,2007-01-27T07:00:00+00:00,PT60M
35,0,35,34,2007-01-27T08:00:00+00:00,PT60M
53,0,53,51,2007-01-27T09:00:00+00:00,PT60M
49,0,49,47,2007-01-27T10:00:00+00:00,PT60M
48,0,48,47,2007-01-27T11:00:00+00:00,PT60M
42,0,42,40,2007-01-27T12:00:00+00:00,PT60M
37,0,37,36,2007-01-27T13:00:00+00:00,PT60M
27,0,27,26,2007-01-27T14:00:00+00:00,PT60M
12,0,12,12,2007-01-27T15:00:00+00:00,PT60M
0,0,0,0,2007-01-27T16:00:00+00:00,PT60M
0,0,0,0,2007-01-27T17:00:00+00:00,PT60M
0,0,0,0,2007-01-27T18:00:00+00:00,PT60M
0,0,0,0,2007-01-27T19:00:00+00:00,PT60M
0,0,0,0,2007-01-27T20:00:00+00:00,PT60M
0,0,0,0,2007-01-27T21:00:00+00:00,PT60M
0,0,0,0,2007-01-27T22:00:00+00:00,PT60M
0,0,0,0,2007-01-27T23:00:00+00:00,PT60M
0,0,0,0,2007-01-28T00:00:00+00:00,PT60M
0,0,0,0,2007-01-28T01:00:00+00:00,PT60M
0,0,0,0,2007-01-28T02:00:00+00:00,PT60M
0,0,0,0,2007-01-28T03:00:00+00:00,PT60M
0,0,0,0,2007-01-28T04:00:00+00:00,PT60M
0,0,0,0,2007-01-28T05:00:00+00:00,PT60M
5,0,5,5,2007-01-28T06:00:00+00:00,PT60M
47,0,47,46,2007-01-28T07:00:00+00:00,PT60M
176,1,177,171,2007-01-28T08:00:00+00:00,PT60M
252,20,260,259,2007-01-28T09:00:00+00:00,PT60M
281,5,283,276,2007-01-28T10:00:00+00:00,PT60M
231,0,231,223,2007-01-28T11:00:00+00:00,PT60M
234,0,234,226,2007-01-28T12:00:00+00:00,PT60M
227,51,246,257,2007-01-28T13:00:00+00:00,PT60M
132,17,138,139,2007-01-28T14:00:00+00:00,PT60M
53,27,56,61,2007-01-28T15:00:00+00:00,PT60M
1,0,1,1,2007-01-28T16:00:00+00:00,PT60M
0,0,0,0,2007-01-28T17:00:00+00:00,PT60M
0,0,0,0,2007-01-28T18:00:00+00:00,PT60M
0,0,0,0,2007-01-28T19:00:00+00:00,PT60M
0,0,0,0,2007-01-28T20:00:00+00:00,PT60M
0,0,0,0,2007-01-28T21:00:00+00:00,PT60M
0,0,0,0,2007-01-28T22:00:00+00:00,PT60M
0,0,0,0,2007-01-28T23:00:00+00:00,PT60M
0,0,0,0,2007-01-29T00:00:00+00:00,PT60M
0,0,0,0,2007-01-29T01:00:00+00:00,PT60M
0,0,0,0,2007-01-29T02:00:00+00:00,PT60M
0,0,0,0,2007-01-29T03:00:00+00:00,PT60M
0,0,0,0,2007-01-29T04:00:00+00:00,PT60M
0,0,0,0,2007-01-29T05:00:00+00:00,PT60M
16,18,18,21,2007-01-29T06:00:00+00:00,PT60M
79,279,138,214,2007-01-29T07:00:00+00:00,PT60M
113,505,283,431,2007-01-29T08:00:00+00:00,PT60M
68,873,449,717,2007-01-29T09:00:00+00:00,PT60M
239,310,392,500,2007-01-29T10:00:00+00:00,PT60M
159,599,463,663,2007-01-29T11:00:00+00:00,PT60M
77,869,489,766,2007-01-29T12:00:00+00:00,PT60M
116,579,351,528,2007-01-29T13:00:00+00:00,PT60M
126,200,186,244,2007-01-29T14:00:00+00:00,PT60M
53,23,57,62,2007-01-29T15:00:00+00:00,PT60M
1,1,1,1,2007-01-29T16:00:00+00:00,PT60M
0,0,0,0,2007-01-29T17:00:00+00:00,PT60M
0,0,0,0,2007-01-29T18:00:00+00:00,PT60M
0,0,0,0,2007-01-29T19:00:00+00:00,PT60M
0,0,0,0,2007-01-29T20:00:00+00:00,PT60M
0,0,0,0,2007-01-29T21:00:00+00:00,PT60M
0,0,0,0,2007-01-29T22:00:00+00:00,PT60M
0,0,0,0,2007-01-29T23:00:00+00:00,PT60M
0,0,0,0,2007-01-30T00:00:00+00:00,PT60M
0,0,0,0,2007-01-30T01:00:00+00:00,PT60M
0,0,0,0,2007-01-30T02:00:00+00:00,PT60M
0,0,0,0,2007-01-30T03:00:00+00:00,PT60M
0,0,0,0,2007-01-30T04:00:00+00:00,PT60M
0,0,0,0,2007-01-30T05:00:00+00:00,PT60M
4,0,4,4,2007-01-30T06:00:00+00:00,PT60M
46,0,46,45,2007-01-30T07:00:00+00:00,PT60M
153,2,154,150,2007-01-30T08:00:00+00:00,PT60M
191,0,191,184,2007-01-30T09:00:00+00:00,PT60M
232,0,232,223,2007-01-30T10:00:00+00:00,PT60M
256,2,257,249,2007-01-30T11:00:00+00:00,PT60M
223,34,240,246,2007-01-30T12:00:00+00:00,PT60M
166,331,294,401,2007-01-30T13:00:00+00:00,PT60M
135,128,175,212,2007-01-30T14:00:00+00:00,PT60M
42,26,44,48,2007-01-30T15:00:00+00:00,PT60M
1,3,1,2,2007-01-30T16:00:00+00:00,PT60M
0,0,0,0,2007-01-30T17:00:00+00:00,PT60M
0,0,0,0,2007-01-30T18:00:00+00:00,PT60M
0,0,0,0,2007-01-30T19:00:00+00:00,PT60M
0,0,0,0,2007-01-30T20:00:00+00:00,PT60M
0,0,0,0,2007-01-30T21:00:00+00:00,PT60M
0,0,0,0,2007-01-30T22:00:00+00:00,PT60M
0,0,0,0,2007-01-30T23:00:00+00:00,PT60M
0,0,0,0,2007-01-31T00:00:00+00:00,PT60M
0,0,0,0,2007-01-31T01:00:00+00:00,PT60M
0,0,0,0,2007-01-31T02:00:00+00:00,PT60M
0,0,0,0,2007-01-31T03:00:00+00:00,PT60M
0,0,0,0,2007-01-31T04:00:00+00:00,PT60M
0,0,0,0,2007-01-31T05:00:00+00:00,PT60M
7,0,7,7,2007-01-31T06:00:00+00:00,PT60M
43,0,43,42,2007-01-31T07:00:00+00:00,PT60M
118,0,118,114,2007-01-31T08:00:00+00:00,PT60M
187,0,187,180,2007-01-31T09:00:00+00:00,PT60M
237,0,237,229,2007-01-31T10:00:00+00:00,PT60M
238,0,238,230,2007-01-31T11:00:00+00:00,PT60M
230,0,230,222,2007-01-31T12:00:00+00:00,PT60M
168,0,168,162,2007-01-31T13:00:00+00:00,PT60M
106,0,106,103,2007-01-31T14:00:00+00:00,PT60M
56,10,57,57,2007-01-31T15:00:00+00:00,PT60M
1,0,1,1,2007-01-31T16:00:00+00:00,PT60M
0,0,0,0,2007-01-31T17:00:00+00:00,PT60M
0,0,0,0,2007-01-31T18:00:00+00:00,PT60M
0,0,0,0,2007-01-31T19:00:00+00:00,PT60M
0,0,0,0,2007-01-31T20:00:00+00:00,PT60M
0,0,0,0,2007-01-31T21:00:00+00:00,PT60M
0,0,0,0,2007-01-31T22:00:00+00:00,PT60M
0,0,0,0,2007-01-31T23:00:00+00:00,PT60M
0,0,0,0,2007-02-01T00:00:00+00:00,PT60M
0,0,0,0,2007-02-01T01:00:00+00:00,PT60M
0,0,0,0,2007-02-01T02:00:00+00:00,PT60M
0,0,0,0,2007-02-01T03:00:00+00:00,PT60M
0,0,0,0,2007-02-01T04:00:00+00:00,PT60M
0,0,0,0,2007-02-01T05:00:00+00:00,PT60M
13,160,28,61,2007-02-01T06:00:00+00:00,PT60M
45,632,176,329,2007-02-01T07:00:00+00:00,PT60M
70,759,331,544,2007-02-01T08:00:00+00:00,PT60M
77,849,458,718,2007-02-01T09:00:00+00:00,PT60M
79,893,533,819,2007-02-01T10:00:00+00:00,PT60M
83,887,546,834,2007-02-01T11:00:00+00:00,PT60M
87,844,498,766,2007-02-01T12:00:00+00:00,PT60M
150,161,221,270,2007-02-01T13:00:00+00:00,PT60M
138,3,139,135,2007-02-01T14:00:00+00:00,PT60M
56,1,56,55,2007-02-01T15:00:00+00:00,PT60M
1,0,1,1,2007-02-01T16:00:00+00:00,PT60M
0,0,0,0,2007-02-01T17:00:00+00:00,PT60M
0,0,0,0,2007-02-01T18:00:00+00:00,PT60M
0,0,0,0,2007-02-01T19:00:00+00:00,PT60M
0,0,0,0,2007-02-01T20:00:00+00:00,PT60M
0,0,0,0,2007-02-01T21:00:00+00:00,PT60M
0,0,0,0,2007-02-01T22:00:00+00:00,PT60M
0,0,0,0,2007-02-01T23:00:00+00:00,PT60M
0,0,0,0,2007-02-02T00:00:00+00:00,PT60M
