dhi,dni,ghi,gti,period_end,period
122,0,122,118,2007-01-05T11:00:00+00:00,PT60M
95,0,95,92,2007-01-05T12:00:00+00:00,PT60M
88,0,88,85,2007-01-05T13:00:00+00:00,PT60M
87,16,89,91,2007-01-05T14:00:00+00:00,PT60M
17,57,23,38,2007-01-05T15:00:00+00:00,PT60M
0,0,0,0,2007-01-05T16:00:00+00:00,PT60M
0,0,0,0,2007-01-05T17:00:00+00:00,PT60M
0,0,0,0,2007-01-05T18:00:00+00:00,PT60M
0,0,0,0,2007-01-05T19:00:00+00:00,PT60M
0,0,0,0,2007-01-05T20:00:00+00:00,PT60M
0,0,0,0,2007-01-05T21:00:00+00:00,PT60M
0,0,0,0,2007-01-05T22:00:00+00:00,PT60M
0,0,0,0,2007-01-05T23:00:00+00:00,PT60M
0,0,0,0,2007-01-06T00:00:00+00:00,PT60M
0,0,0,0,2007-01-06T01:00:00+00:00,PT60M
0,0,0,0,2007-01-06T02:00:00+00:00,PT60M
0,0,0,0,2007-01-06T03:00:00+00:00,PT60M
0,0,0,0,2007-01-06T04:00:00+00:00,PT60M
0,0,0,0,2007-01-06T05:00:00+00:00,PT60M
7,17,9,13,2007-01-06T06:00:00+00:00,PT60M
63,1,63,61,2007-01-06T07:00:00+00:00,PT60M
147,5,148,145,2007-01-06T08:00:00+00:00,PT60M
196,191,271,343,2007-01-06T09:00:00+00:00,PT60M
88,780,428,706,2007-01-06T10:00:00+00:00,PT60M
87,788,435,717,2007-01-06T11:00:00+00:00,PT60M
81,765,388,652,2007-01-06T12:00:00+00:00,PT60M
73,675,287,508,2007-01-06T13:00:00+00:00,PT60M
60,422,147,275,2007-01-06T14:00:00+00:00,PT60M
16,95,25,50,2007-01-06T15:00:00+00:00,PT60M
0,0,0,0,2007-01-06T16:00:00+00:00,PT60M
0,0,0,0,2007-01-06T17:00:00+00:00,PT60M
0,0,0,0,2007-01-06T18:00:00+00:00,PT60M
